{'id': 10, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 11, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 12, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 13, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 14, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 15, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 16, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 17, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 18, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 19, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 20, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 21, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 22, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 23, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 24, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 25, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 26, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 27, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 28, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 29, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 30, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 31, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 32, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 33, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 34, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 35, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 36, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 37, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 38, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 39, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 40, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 41, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 42, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 43, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 44, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 45, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 46, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 47, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 48, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 49, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 50, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 51, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 52, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 53, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 54, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 55, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 56, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 57, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 58, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 59, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 60, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 61, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 62, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 63, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 64, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 65, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 66, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 67, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 68, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 69, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 70, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 71, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 72, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 73, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 74, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 75, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 76, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 77, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 78, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
{'id': 79, 'name': 'Anachi', 'age': 19, 'department': 'CSE'} 
{'id': 80, 'name': 'Praveen', 'age': 20, 'department': 'MECH'} 
{'id': 81, 'name': 'Hari', 'age': 21, 'department': 'ECE'} 
